Test,Row,Group,User,Question,Response,Comment
01,37,A,683,09,0,El efecto sonoro del TELEFONO no está ubicado donde recomienda la norma
01,104,A,1259,01,0,Para que toda persona pueda entender.
01,150,A,560,01,0,Los subtítulos tienen que ir en el margen inferior y en este vídeo están bailando en distintas posiciones continulamente
01,150,A,560,07,0,los distintos personajes tendrían que diferenciarse por colores
01,180,A,1097,14,0,no se debe separar en dos líneas sílabas de la misma palabra los sintagmas nominales verbales y preposicionales 
01,11,A,868,07,1,"Poner ""Emi"" y ""Ale"" puede llevar a error de identificación o comprensión de los personajes implicados"
01,11,A,868,09,1,Se podría haber descrito mejor el sonido de la llamada del teléfono. 
01,11,A,868,15,1,"El uso de puntos suspensivos puede llevar a errores de comprensión, ya que el matiz de lectura no puede apreciarse"
01,12,A,916,16,1,Ok
01,21,A,802,03,1,Mejor alineado a la izquierda
01,21,A,802,08,1,Mismo de antes y hay una frase en la que no se ve que el autor es Álex y luego sí añade cuando habla Emilio
01,37,A,683,15,1,Hay un uso de puntos suspensivos que marca una pausa que creo que no se debería identificar de ese modo
01,93,A,1020,11,1,Sin comentario.
01,93,A,1020,12,1,Sin comentario.
01,93,A,1020,14,1,Sin comentario.
01,93,A,1020,15,1,Sin comentario.
01,93,A,1020,16,1,Sin comentario.
01,93,A,1020,17,1,Sin comentario.
01,128,A,409,07,1,No sé si se entiende bien que solo se crean las tres primeras letras
01,137,A,496,17,1,Hay que utilizar expresiones correctas y que todo el mundo entienda.
01,138,A,498,15,1,No entiendo bien la inclusión ahí de los puntos suspensivos
01,180,A,1097,08,1,"no es necesario una ocupar una línea para cada personaje, porque podríamos saturar "
01,207,A,1126,09,1,Ok
01,5,A,4,17,2,xxx
01,21,A,802,16,2,No me ha parecido ver números
01,23,A,38,16,2,no salen números
01,68,A,59,15,2,Sólo se usa una vez. Creo recordar que se recomienda no usar
01,68,A,59,16,2,No se da el caso en este video.
01,77,A,73,05,2,correcta
01,77,A,73,11,2,correcto
01,77,A,73,13,2,Pondría otra tipografía adecuada y especializada para lectura en pantalla
01,77,A,73,14,2,ajustado
01,77,A,73,15,2,aporta entonación al texto escrito
01,77,A,73,16,2,nada que comentar
01,93,A,1020,01,2,Sin comentario.
01,93,A,1020,02,2,Sin comentario.
01,93,A,1020,03,2,Sin comentario.
01,93,A,1020,04,2,Sin comentario.
01,93,A,1020,05,2,Sin comentario.
01,93,A,1020,06,2,Sin comentario.
01,93,A,1020,07,2,Sin comentario.
01,93,A,1020,08,2,Sin comentario.
01,93,A,1020,09,2,Sin comentario.
01,93,A,1020,10,2,Sin comentario.
01,93,A,1020,13,2,Sin comentario.
01,98,A,211,09,2,Nada de añadir
01,98,A,211,10,2,Nada de añadir
01,98,A,211,15,2,Nada de añadir
01,98,A,211,16,2,Nada de añadir
01,98,A,211,17,2,Nada de añadir
01,108,A,281,15,2,No lo recuerdo
01,108,A,281,16,2,No lo recuerdo
01,108,A,281,17,2,No he visto
01,113,A,288,17,2,No he visto ninguna
01,118,A,317,10,2,un pelín retrasados
01,124,A,369,16,2,No aparecen números en el video
01,141,A,509,01,2,Deberían estar más abajo de la pantalla
01,142,A,519,15,2,No me he fijado si los tiene
01,170,A,850,07,2,Color para identificar a los distintos personajes
01,170,A,850,08,2,Podría separase
01,170,A,850,09,2,(Suena Teléfono)
01,170,A,850,15,2,No vi ...
01,170,A,850,16,2,No vi números
01,180,A,1097,15,2,Solo se deben de utilizar puntos suspensivos de acuerdo a las normas gramaticales 
01,206,A,1120,01,2,"Daba la sensación de que por fases oscilaban, estando mas arriba en algunos momentos y mas abajo en otros."
01,206,A,1120,03,2,"Daba la sensación de que por fases oscilaban, estando mas arriba en algunos momentos y mas abajo en otros."
01,206,A,1120,05,2,No me he fijado demasiado.
01,206,A,1120,06,2,No me he fijado demasiado.
01,206,A,1120,07,2,No recuerdo si el personaje principal se identifica.
01,206,A,1120,08,2,Nada que añadir.
01,206,A,1120,10,2,Nada que añadir.
01,207,A,1126,08,2,Ok
01,11,A,868,01,3,"Ubicados correctamente en la parte inferior de la pantalla, centrados, no más de dos líneas."
01,11,A,868,02,3,"Entre una y dos líneas, se puede indicar hasta una tercera, pero ya dificulta la lectura y comprensión "
01,11,A,868,06,3,Se podría haber indicado más concretamente el sonido de la llamada de teléfono
01,11,A,868,12,3,"Las líneas de texto no son demasiado extensas, por lo que son comprensibles "
01,12,A,916,12,3,Ok
01,12,A,916,15,3,Ok
01,21,A,802,01,3,En algún momento se sitúan un poco más arriba.
01,21,A,802,07,3,En algún texto no se ve el autor aunque continúe el diálogo iniciado por él
01,21,A,802,09,3,"quizá podría ponerse en lugar de teléfono, sonido de teléfono"
01,21,A,802,11,3,Alguno pasa muy rápidamente
01,37,A,683,01,3,La posición de los subtítulos va variando. Debería estar en la parte inferior de la pantalla
01,37,A,683,07,3,"Si bien los personajes están identificados por su nombre, creo que queda más claro cuando se identifican con colores"
