username;year_of_birth;gender;level_of_education;cohort
b0ec0b29bb261dcf2439b35c2ffacb1a85288fba8fba2fbe1920629636cd54df6a9632eb7c111ac8b82f80ef082c9ce97654556c03acf3022885cff6a691ad16;None;;;4a678444
98938db52224713fb03239ed26594344dc28dc5030c5c6e30a287abf3d724d3367c3940f10036dd75e2227aac5c08b89c6d9ddd0300dfd3ab3a638679a0de834;1958;f;a;4a678444
6c25aad69e5bd0376a41babed1f97276fe4c79f2f612c9621ef2ce4b3cce4d35dcb7170e3e54df19eec1b6b5f5924472a9bcb420275e8246370fe7420e042665;1998;f;other;4a678444
8464844b02f6720c49d38f883acc861fefd428ab689bb31d5771b8c9e82e51e729ed698b7c8aeb2476a49a27d1963ca8defd98a4db2b8f190473ed277bce49a2;1956;m;p;4a678444
58516146e0f384f3934761d72a6a233ffb5005462574373e56a4a755f06c94f1163cc0943ad046c44c79cdd9303d825305d1986007cc244f2cce69d91668bac3;None;;;d36ed5fe
42b5db136ce1dd2b7cfb3be09ec21b7179bd54b2cb56e059ec0708202bb525e875fb6e36b05978066b3028d620aeb2beeff339f18cf4d7d1bdec3be44257c049;2000;m;b;4a678444
0422e20ae24fdb784c250d55ebb3a20a82a371d0bc5e01c5210e4acfb1ef48e0e1bbddd7f03d39c15518fb7aea04e6e1a503a0d1163a7fa04577611f8b61da5a;1991;m;m;4a678444
3d4d242de9d2a9b521db33da7c008dee343050122f6bb31e786f997489a81c115cab7bbf0b68a50411ac9621123680b8bd7a0349228187681d78b4b52d03a994;1973;f;b;4a678444
575a66abe26b28c763628970b0618b72c9d47d5ffdcff73e4f75afec7b48f331958dfd82c67ab5612c1478567acd288cc5dee34783ff5b061df2cad792a9a3a6;None;;;[unassigned]
586d96fde93745e01167389b199d22a222ca491987acebdae3e6026f0b18943bb82a9b4c9721c71185ec6e7cc888e24baa3e2eec3ec397cafea493b7fca88c57;None;;a;4a678444
94f0c376e6b8357cd73284c0811f7446f8fa95f239f0f4120d756c10ed91d8f08ca4a4f53bdec0b545f70763aef81aee46e42de2a60820e04110d9d6e12c3c77;1968;f;a;[unassigned]
da0b0d92b57670421cd1115234170cbbf70d845d7be6df9cde16e203ec557e986c640a11b5f860f98cedf6573c8ad1eed64cf41698f571f8a70bdaed87918303;1970;f;a;d36ed5fe
5dce0d11ec97a786e4b5ddb70e169a2c108af55bc9357b6ab691e580acdb52557de77e4e867ea6c2951616e09b3ac58b5dbc8f36f99529e50c76b3edbeaf0b7a;None;;;d36ed5fe
8be252494eccc16ddabbe9311ba7fc4d446b117ea7b67302c070baca10a75e78270bc9d33ca69ed278f0a0ce63f2073cd68d1249641315f68e1eb1c3d9b2ebd5;1973;f;hs;d36ed5fe
69358c366a265cd059b692ae4c2fbffc0037f937750c8fe5bd3c25e8591fa6e7dd9e4e03794682c3e385595b95888aad5e7a8ff37891620553dd18a229de5416;1966;f;a;d36ed5fe
99a873bf9ef0bf84321af4bf1532e8bfb92b330892ab51c197be094daea820a0f39141bfdf2dcca4f7813b6c80cb83f9c042c97a6d3e040fd885afbd9e042b17;1974;f;a;4a678444
bb874f24dd3e510e0d86d2c80be8d92666f3e5f36d0bb7ea02bb770f923228102da345efdcbc9398cf0d94187da9897dfea557299b756afde89ba5854703d741;1962;f;b;d36ed5fe
6ce8bfa9b7570e00d9e28c213f4dda05fcd2b78559af48f9771f9ec29481d92f6b8e1b9f716dbd702b0f79eaa66a400f95482f48f8cdff1c46aa2e419cf1ca4b;1966;m;;4a678444
a01c8216ae2f31ee0b6896d1a123bc57e542ebc7dbaa7aed17c87854aa53075a4be46c53ada30f3a615bc351b9c576f186c4a9cf3669ba2e4dfc133e26e1741e;1954;f;b;d36ed5fe
5fc9aacd7230840c5f2c2aa3b2ac660cc0ee2ab7248468b5b999bfbfed3b69333af77765a6a2274d0cff2c6e9df38d3621fd102045c300971f22d5b10d924c1a;1973;f;other;4a678444
8261272b4d7ed2882ac2dccd93cecec59e918a3637db6a941cbfec4cba6353e5858bf96e242e7ec4228c510359658b9bd244835bf4829397b139287b154e2c10;None;;;d36ed5fe
b79e093143ff00bbc9aefc3381f4a7926b801c96a30e93b148663472591c4f89f0d8c07aadd71b3ac5b7dec4869d56aae3fd15727f326fb9fbf08dacbd309365;1979;f;other;4a678444
